
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.10.20.57:49910      52.96.189.50:443       ESTABLISHED
  TCP    10.10.20.57:49969      10.47.0.50:22          ESTABLISHED
  TCP    10.10.20.57:50527      52.230.222.68:443      ESTABLISHED
  TCP    10.10.20.57:50735      40.97.230.178:443      TIME_WAIT
  TCP    10.10.20.57:52303      52.96.36.130:443       ESTABLISHED
  TCP    10.10.20.57:52591      18.208.101.52:443      ESTABLISHED
  TCP    10.10.20.57:52822      40.97.155.194:443      ESTABLISHED
  TCP    10.10.20.57:52823      52.96.172.114:443      TIME_WAIT
  TCP    10.10.20.57:52824      52.96.172.114:443      TIME_WAIT
  TCP    10.10.20.57:53094      40.97.124.210:443      ESTABLISHED
  TCP    10.10.20.57:53181      40.97.124.210:443      ESTABLISHED
  TCP    10.10.20.57:53230      104.18.13.33:443       ESTABLISHED
  TCP    10.10.20.57:53342      35.201.97.85:443       ESTABLISHED
  TCP    10.10.20.57:53409      40.97.124.210:443      ESTABLISHED
  TCP    10.10.20.57:53520      40.97.124.210:443      ESTABLISHED
  TCP    10.10.20.57:54563      140.82.114.26:443      ESTABLISHED
  TCP    10.10.20.57:54673      40.97.153.146:443      ESTABLISHED
  TCP    10.10.20.57:54772      40.97.153.146:443      ESTABLISHED
  TCP    10.10.20.57:54833      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54835      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54836      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54842      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54855      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54856      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54861      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54862      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:54917      162.159.152.4:443      ESTABLISHED
  TCP    10.10.20.57:54919      162.159.152.4:443      ESTABLISHED
  TCP    10.10.20.57:54936      172.64.109.25:443      ESTABLISHED
  TCP    10.10.20.57:54944      13.226.51.76:443       ESTABLISHED
  TCP    10.10.20.57:54949      65.8.27.57:443         ESTABLISHED
  TCP    10.10.20.57:54959      185.199.111.154:443    ESTABLISHED
  TCP    10.10.20.57:54998      52.111.239.7:443       TIME_WAIT
  TCP    10.10.20.57:55009      151.101.129.69:443     ESTABLISHED
  TCP    10.10.20.57:55010      151.101.129.69:443     ESTABLISHED
  TCP    10.10.20.57:55011      151.101.4.193:443      ESTABLISHED
  TCP    10.10.20.57:55066      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:55096      185.199.111.154:443    ESTABLISHED
  TCP    10.10.20.57:55097      185.199.108.133:443    ESTABLISHED
  TCP    10.10.20.57:55103      40.97.153.146:443      ESTABLISHED
  TCP    10.10.20.57:55104      40.97.153.146:443      ESTABLISHED
  TCP    10.10.20.57:55105      40.97.153.146:443      ESTABLISHED
  TCP    10.10.20.57:55169      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55177      104.16.122.175:443     ESTABLISHED
  TCP    10.10.20.57:55204      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55209      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:55210      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55211      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55212      10.10.10.203:27017     ESTABLISHED
  TCP    10.10.20.57:55213      91.228.167.137:80      TIME_WAIT
  TCP    10.10.20.57:55218      13.110.63.53:443       TIME_WAIT
  TCP    10.10.20.57:55221      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55231      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55249      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55255      10.10.20.4:445         ESTABLISHED
  TCP    10.10.20.57:55258      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55259      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55276      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55279      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55280      13.110.58.53:443       TIME_WAIT
  TCP    10.10.20.57:55288      52.96.122.50:443       ESTABLISHED
  TCP    10.10.20.57:55320      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55321      10.10.10.203:3306      TIME_WAIT
  TCP    10.10.20.57:55322      10.10.10.203:3306      TIME_WAIT
